Genesets	Genes	qvalue
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	PDHB,VARS2,IARS2,PDHA1,PDHA2,LARS,LARS2,VARS,BCAT1,BCAT2,IARS	0.203046528
KEGG_LYSINE_DEGRADATION	SUV39H2,AASDHPPT,DLST,ALDH1B1,AASDH,ALDH2,ACAT2,PLOD2,PLOD1,TMLHE,EHMT2,ACAT1,SETD8,HADH,SETMAR,OGDH,HADHA,BBOX1,AASS,ECHS1,ALDH9A1,ALDH3A2,SUV420H1,SUV39H1,ASH1L,SETD1B,DOT1L,WHSC1,EHHADH,OGDHL,SETD1A,GCDH,SUV420H2,SETD7,ALDH7A1,WHSC1L1,EHMT1,SETDB1,AADAT,SETD2,SETDB2,PLOD3,NSD1,PIPOX	0.129292888
KEGG_GLYCEROLIPID_METABOLISM	MBOAT2,GPAM,LIPG,DGKZ,DGKE,DGKD,DGKH,MBOAT1,GK,DGAT2,GK2,GLA,ALDH7A1,AGK,DAK,AGPAT3,AWAT2,AGPAT4,AKR1B1,PNLIPRP2,PNLIPRP1,PNLIP,DGAT1,GLYCTK,LPL,ALDH1B1,DGKQ,ALDH2,DGKB,DGKG,AKR1A1,DGKA,PPAP2B,LIPC,DGKI,LCLAT1,AGPAT9,MGLL,AGPAT6,ALDH9A1,ALDH3A2,PNPLA3,PPAP2A,PPAP2C,AGPAT1,AGPAT2,CEL,GPAT2,LIPF	0.014208608
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	PEMT,PLA2G15,GPD1,GPD1L,LPGAT1,GPAM,MBOAT2,MBOAT7,CHAT,LPCAT1,PTDSS1,ACHE,PLA2G3,DGKZ,ETNK1,DGKE,DGKD,PCYT1A,DGKH,JMJD7-PLA2G4B,CHPT1,MBOAT1,PLA2G6,PLA2G2E,PLA2G10,LPCAT3,PLA2G2A,ETNK2,PLA2G4A,PLA2G5,PLA2G12B,PLA2G4B,PTDSS2,PLA2G2F,PCYT2,CDS1,AGPAT3,AGPAT4,PGS1,LYPLA1,PLA2G1B,C17orf48,CDIPT,DGKQ,CDS2,DGKB,DGKG,PPAP2B,DGKA,DGKI,PHOSPHO1,LCLAT1,TAZ,AGPAT9,GNPAT,LPCAT4,PLA2G4E,AGPAT6,CHKA,PPAP2A,PPAP2C,LYPLA2,PLA2G2C,AGPAT1,PLA2G2D,LPCAT2,PLA2G12A,AGPAT2,PLD1,CHKB,PISD,PLD2,PCYT1B,GPAT2,LCAT,CRLS1,GPD2	0.122186685
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	ACOT4,TECR,BAAT,ELOVL5,ELOVL6,ACOT2,YOD1,ELOVL2,FADS1,FADS2,ACOX3,PECR,SCD5,SCD,PTPLA,ACAA1,HADHA,ACOT1,ACOT7,ACOX1,HSD17B12,PTPLB	0.155511346
KEGG_ABC_TRANSPORTERS	ABCA7,ABCG4,ABCD1,ABCC12,ABCA1,TAP2,ABCA6,TAP1,ABCA5,ABCB8,ABCA10,ABCD4,ABCA3,ABCB11,ABCD3,ABCA2,ABCC2,ABCC11,ABCC6,ABCC3,ABCC9,ABCG2,ABCC4,ABCC5,ABCA12,ABCG1,ABCB4,CFTR,ABCB1,ABCC1,ABCD2,ABCB6,ABCB7,ABCA8,ABCA4,ABCC8,ABCC10,ABCB10,ABCB9,ABCA13,ABCA9,ABCB5,ABCG5,ABCG8	0.208729214
KEGG_SPLICEOSOME	EFTUD2,LSM5,SF3A1,HNRNPA1L2,SF3B2,PRPF19,SNRNP27,HNRNPA3,LSM6,USP39,DDX42,NCBP1,SF3B1,MAGOH,CDC40,SF3B3,SRSF9,ACIN1,TXNL4A,TCERG1,U2AF2,RBM17,PRPF38B,THOC1,PLRG1,CCDC12,MAGOHB,HSPA8,LSM7,CHERP,NAA38,PQBP1,RBMX,LSM4,EIF4A3,SF3A3,DDX46,RBM25,PRPF40A,THOC3,NHP2L1,PRPF40B,LSM2,SRSF8,SF3A2,SMNDC1,BCAS2,NCBP2,PRPF8,LOC120364,THOC4,DDX39B,CWC15,DDX23,PRPF18,CDC5L,SF3B5,SNRNP40,PRPF31,SNW1,DHX15,WBP11,HNRNPU,CTNNBL1,HNRNPK,TRA2A,SNRNP200,HSPA1L,HSPA1B,RBM22,HSPA2,HSPA1A,ZMAT2,PRPF6,DHX16,U2AF1,PRPF38A,HNRNPC,DDX5,DHX8,HSPA6,DHX38,ISY1,XAB2,SNRPG,SNRPE,SNRPF,SNRPD2,SNRPD3,SART1,SYF2,CRNKL1,U2SURP,HNRNPA1,PRPF3,AQR,PRPF4,LSM3,SF3B4,PPIH,LOC653884,SLU7,BUD31,PHF5A,SRSF10,SRSF6,SNRPA,RBM8A,SRSF7,SNRPA1,HNRNPM,SNRPB,TRA2B,SNRPB2,PUF60,SRSF5,SNRNP70,PCBP1,PPIL1,SF3B14,SRSF4,SRSF3,SNRPD1,THOC2,SNRPC,PPIE,SRSF2,SRSF1	0.125396603
KEGG_PPAR_SIGNALING_PATHWAY	SLC27A5,SLC27A4,SORBS1,ACADL,CYP4A11,ACADM,APOA2,CD36,FADS2,APOA1,CYP7A1,SLC27A1,SCD,CYP8B1,UCP1,DBI,NR1H3,ACSL6,ME1,MMP1,GK,GK2,APOA5,RXRB,RXRG,PLTP,PDPK1,RXRA,ILK,APOC3,ACOX2,ACOX3,CYP27A1,OLR1,CPT2,ACAA1,CPT1B,ANGPTL4,SLC27A2,LPL,FABP1,CPT1A,PCK2,FABP4,CPT1C,FABP2,PCK1,SCP2,PPARA,AQP7,PLIN1,CYP4A22,FABP3,FABP5,FABP6,FABP7,ACSL5,ADIPOQ,SLC27A6,HMGCS2,EHHADH,UBC,PPARG,PPARD,ACSL1,SCD5,ACOX1,ACSL3,ACSL4	0.050519495
KEGG_CELL_CYCLE	CDC16,CDC7,CDC45,GADD45B,DBF4,ANAPC1,CREBBP,MDM2,ABL1,SMC1B,LOC728622,GADD45G,ATM,ATR,ANAPC7,RBL2,ANAPC5,RBL1,MYC,CDC14B,SMC1A,CDC14A,LOC731751,SKP1,TGFB2,TGFB1,GADD45A,STAG1,LOC650621,PLK1,RBX1,STAG2,TGFB3,MCM4,ORC6,CCND1,MAD1L1,MCM3,MCM6,MCM5,YWHAB,CCNA2,MCM7,BUB1,CHEK1,WEE2,MCM2,PTTG1,CDC27,CDC25B,CDC25C,LOC651610,CDC25A,CDC6,CDC20,BUB3,YWHAZ,CCND2,YWHAH,CCNB1,YWHAG,YWHAE,CCNE1,ORC3,CCND3,PTTG2,SFN,E2F1,TFDP1,ZBTB17,CDK1,ESPL1,ANAPC10,RAD21,BUB1B,ANAPC11,RB1,SKP2,CUL1,SMAD3,SMAD4,ANAPC2,TFDP2,PRKDC,MAD2L1,ANAPC4,SMAD2,YWHAQ,CHEK2,CDC23,EP300,GSK3B,CDKN2A,CDKN1C,CDKN1B,CDKN1A,CDKN2D,CCNA1,CDKN2B,CDKN2C,FZR1,SMC3,ANAPC13,PCNA,TTK,PKMYT1,CDK2,CDC26,E2F5,CDK4,WEE1,E2F4,E2F3,TP53,E2F2,ORC1,ORC2,CCNE2,CDK6,ORC4,CCNB2,CDK7,MAD2L2,ORC5,HDAC1,HDAC2,CCNH,CCNB3	0.123307451
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	CDC16,KLHL13,PIAS3,UBA6,UBE2L6,BIRC3,HERC1,XIAP,PML,HERC2,PRPF19,ANAPC1,UBE2S,UBE2O,UBE2M,UBE2Q2,MAP3K1,UBE4A,BRCA1,MDM2,UBE2K,UBE2D4,UBOX5,KLHL9,UBR5,UBE3A,UBE2R2,RFWD2,TRIM37,FBXW8,UBE2E3,LOC652671,LOC728622,ANAPC7,ANAPC5,UBE2QL1,PIAS1,SMURF1,STUB1,UBE2G2,BTRC,UBE2G1,UBE2I,SOCS1,UBE2H,UBE2J2,SKP1,TRAF6,FBXW11,UBE2L3,NHLRC1,UBE2N,UBE4B,MGRN1,LOC650621,RBX1,DDB2,NEDD4L,SOCS3,SIAH1,DDB1,DET1,RNF7,BIRC2,UBE2U,UBE2Z,UBA7,VHL,UBA1,UBE2NL,PIAS4,AIRE,FBXO4,CBLC,UBE2A,CDC27,HUWE1,UBE2B,CDC34,UBE2D1,UBA3,UBE2E1,UBE2E2,UBE2D2,CDC20,UBE2D3,ITCH,UBE2Q1,ANAPC10,RCHY1,UBE2W,WWP1,PPIL2,TCEB1,UBE3C,UBE2J1,ANAPC11,TCEB2,SAE1,UBA2,RHOBTB2,CUL5,KEAP1,SYVN1,PARK2,SKP2,PIAS2,CUL7,CUL1,FBXW7,CUL2,CUL3,UBE3B,CUL4A,CUL4B,ANAPC2,FANCL,ANAPC4,SMURF2,CDC23,CBLB,CBL,LOC652346,NEDD4,TRIM32,FZR1,TRIP12,UBE2F,ANAPC13,FBXO2,HERC4,WWP2,UBE2C,CDC26,HERC3,BIRC6,ERCC8,MID1	0.106038315
